State,Population
Uttar Pradesh,"199,812,341"
Maharashta,"112,372,972"
Bihar,"103,804,637"
West Bengal,"91,347,736"
Madhya Pradesh,"72,597,565"
Tamil Nadu,"72,138,958"
Rajasthan,"68,621,012"
Karnataka,"61,130,704"
Gujarat,"60,383,628"
Andhra Pradesh,"49,386,799"
Odisha,"41,947,358"
Telangana,"35,286,757"
Kerala,"33,387,677"
Jharkhand,"32,966,238"
Assam,"31,169,272"
Punjab,"27,704,236"
Chattisgarh,"25,540,196"
Haryana,"25,353,081"
Jammu and Kashmir,"12,548,926"
Uttarakhand,"10,116,752"
Himachal Pradesh,"6,864,602"
Tripura,"3,671,032"
Meghalaya,"2,964,007"
Manipur,"2,721,756"
Nagaland,"1,980,602"
Goa,"1,457,723"
Arunachal Pradesh,"1,382,611"
Mizoram,"1,091,014"
Sikkim,"607,688"